,name,difficulty_code,district,difficulty,description,polyline
0,8TH AVE S,i,Current,#FFFF00,In street major separation,"[(47.52981428497522, -122.32285963744418), (47.52901539269231, -122.32287301016585)]"
1,SWIFT AVE S,i,Current,#FFFF00,In street major separation,"[(47.54806726561489, -122.30992187344636), (47.54750088726167, -122.3088816292702)]"
5,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(47.66716745925404, -122.37888522329182), (47.66740105695392, -122.37888478810629), (47.66742847148666, -122.37888477921749)]"
6,S ROYAL BROUGHAM WAY,i,Current,#FFFF00,In street major separation,"[(47.59239080906368, -122.33134741868481), (47.59239116172076, -122.33066782343496), (47.592382370426684, -122.33028044841201), (47.592377824429214, -122.33008327634694), (47.59236833435409, -122.32990003655567)]"
7,12TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.67242532786521, -122.31565808894331), (47.67333424769223, -122.31565774103136)]"
9,MERCER ST,i,Current,#FFFF00,In street major separation,"[(47.62455804885219, -122.34626626480417), (47.624555368739685, -122.3450106512531), (47.62455526179848, -122.34496067061079), (47.62455264216437, -122.34383276457558), (47.62455222598138, -122.3436543387918), (47.62455187714775, -122.34347996857983), (47.6245497275203, -122.34234960243431)]"
12,RENTON AVE S,d,Current,#FF0000,In street minor separation,"[(47.52425408567299, -122.27657721301394), (47.52417931575654, -122.27657130931719), (47.52410452342221, -122.2765660651417), (47.52402971080163, -122.27656147847094), (47.52400184547112, -122.27655917419166), (47.523974052412484, -122.27655543560353), (47.523946364566, -122.27655026672998), (47.52345927843234, -122.27644644201338), (47.523415498823816, -122.27643621829583), (47.5233719654682, -122.27642390500188), (47.52332872594882, -122.27640951381706), (47.52331233991424, -122.27640325589718)]"
14,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.71018044090349, -122.2907058604584), (47.711586911401554, -122.2906618574482), (47.71166283673513, -122.29065948047167), (47.71179606504097, -122.29065531261843), (47.71195941672289, -122.29065020116194)]"
15,6TH AVE,d,Current,#FF0000,In street minor separation,"[(47.61394697438102, -122.33756320384244), (47.614391404535624, -122.33831434380639)]"
17,FREMONT AVE N,i,Current,#FFFF00,In street major separation,"[(47.652729541236404, -122.34992005870234), (47.654140263807534, -122.34990535323796)]"
22,MOUNT RAINIER DR S,d,Current,#FF0000,Sharrows,"[(47.57624655003429, -122.28575774870987), (47.57623874911014, -122.2857396825865), (47.57621641033511, -122.28569049628277), (47.576192951970114, -122.28564246136395), (47.57616840278602, -122.28559563361304), (47.57614279021637, -122.28555006358864), (47.576116143707445, -122.28550580916668), (47.57608849352621, -122.28546291890929), (47.57605987483839, -122.28542144255267), (47.576030317222724, -122.28538142760169), (47.57599985657301, -122.28534292173714)]"
23,S JACKSON ST,d,Current,#FF0000,Sharrows,"[(47.59920482976224, -122.33418803288846), (47.59920348689388, -122.33328669825026), (47.59920288790548, -122.3328824145194)]"
24,W EMERSON ST,d,Current,#FF0000,In street minor separation,"[(47.65408533944869, -122.40680548635372), (47.654088258083334, -122.40787697878778)]"
29,N 50TH ST,i,Current,#FFFF00,In street major separation,"[(47.665004059613565, -122.34451890219279), (47.66500238478615, -122.34373593819362)]"
32,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(47.545405858237984, -122.38444798689993), (47.54536331111859, -122.38456907477389), (47.54535192739707, -122.38460147029296), (47.54530505059296, -122.38475992627669), (47.54526543402386, -122.38492264672108), (47.54524004456598, -122.3850538068822), (47.54523390364798, -122.38508553623473), (47.54523325636193, -122.38508888328823), (47.54522822316506, -122.38511850266113), (47.545141644528066, -122.38562805659608), (47.545120968225376, -122.38574974071418)]"
36,WESTERN AVE,d,Current,#FF0000,In street minor separation,"[(47.60736380689549, -122.34021614498234), (47.608356886225955, -122.3411236850275)]"
38,EAST GREEN LAKE DR N,i,Current,#FFFF00,In street major separation,"[(47.67981701604444, -122.32571289924532), (47.67998835727726, -122.3257283015896), (47.68010306796795, -122.32574707101566), (47.68019668187589, -122.32578070962397), (47.68029316954687, -122.32582592491096)]"
39,2ND AVE,i,Current,#FFFF00,In street major separation,"[(47.613271223939776, -122.34435340024717), (47.61358800005705, -122.3448892977205), (47.61403982370778, -122.34565345834964)]"
43,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(47.69057898407939, -122.3499119343917), (47.69130348449688, -122.34992053493598)]"
44,16TH AVE SW,d,Current,#FF0000,In street minor separation,"[(47.5447292021689, -122.35488576722705), (47.54463659170691, -122.35488751948046), (47.54398112024847, -122.35489991490284), (47.54285952891243, -122.35492112318764)]"
45,NE RAVENNA BLVD,i,Current,#FFFF00,In street major separation,"[(47.6789052756295, -122.32626440061163), (47.67896976729587, -122.326101385263), (47.67898464154585, -122.3260295978682), (47.67900688597919, -122.32592707386256), (47.679014930951276, -122.32584477413224), (47.67901935829758, -122.32577268761167), (47.67902554228169, -122.32569472899999), (47.679007793549054, -122.32559181924253), (47.678933953263574, -122.3253782146332), (47.67884618477282, -122.32516421079046), (47.678757571563736, -122.32498923158528)]"
49,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(47.66867103254436, -122.3788842813873), (47.66944587833844, -122.37888370007029)]"
50,RAVENNA AVE NE,d,Current,#FF0000,In street minor separation,"[(47.691178683950646, -122.30203121768517), (47.691233683162366, -122.30205298626355), (47.69125056033657, -122.30205966589202), (47.69197535393092, -122.30234651647436), (47.692034955458645, -122.30237010530499), (47.692076612693135, -122.30238659221732), (47.69208985478403, -122.30239183123139), (47.69214490562205, -122.30241361970927), (47.69250883006449, -122.30255765773002), (47.69294744439435, -122.30273125565822), (47.69298922448297, -122.30274779237195), (47.69300246936347, -122.30275303164947)]"
51,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(47.538020380138576, -122.39146224423223), (47.537449626167295, -122.39172608497485), (47.53730644465029, -122.39179227259623)]"
55,E YESLER WAY,d,Current,#FF0000,In street minor separation,"[(47.60167156112486, -122.30504404311374), (47.60166927673143, -122.30373893672045)]"
56,39TH AVE S,d,Current,#FF0000,Sharrows,"[(47.519736417767206, -122.28369431025108), (47.51825580824974, -122.28370024927078)]"
59,16TH AVE SW,d,Current,#FF0000,In street minor separation,"[(47.53730672130269, -122.35500426485441), (47.53549346696922, -122.35501856280614)]"
64,S COLUMBIAN WAY,i,Current,#FFFF00,In street major separation,"[(47.564331070805395, -122.31350186077904), (47.56421990111245, -122.31349643101069), (47.564109435359036, -122.31347720802482), (47.5640004551013, -122.31344433131315), (47.563893730811635, -122.31339803649801), (47.563790016360095, -122.31333864791333), (47.563690052442574, -122.31326658492158), (47.56359453990344, -122.31318236219074), (47.56350695279325, -122.31308952992954), (47.56350416035563, -122.31308656953601)]"
67,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(47.60799220510414, -122.29363205739355), (47.60797619871663, -122.29258033957007)]"
69,S HILL ST,e,Current,#00FF00,Enhanced Street,"[(47.584541864858174, -122.30290950581374), (47.58450274828303, -122.30163236282209)]"
71,CHERRY ST,d,Current,#FF0000,In street minor separation,"[(47.60441290955528, -122.32984160639415), (47.60487636834788, -122.32873350609742)]"
72,32ND AVE NW,d,Current,#FF0000,In street minor separation,"[(47.667539956488866, -122.39831361055226), (47.66855593130255, -122.39831758633781), (47.66862417969409, -122.39831785489993)]"
74,N 34TH ST,i,Current,#FFFF00,In street major separation,"[(47.6492401225337, -122.34741874467558), (47.64915931664808, -122.34688054151628), (47.649058320690564, -122.34620787787486), (47.64884179422889, -122.3447658762862)]"
76,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(47.65466247321519, -122.34247462000538), (47.65485421495651, -122.34246520557812), (47.655382877324506, -122.34243924240363)]"
78,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(47.69769042080757, -122.32308488028579), (47.69859558605498, -122.32309542243338), (47.698601507498175, -122.3230954924349), (47.69860655234319, -122.32309555185361), (47.698669256476165, -122.32309628228693), (47.6995092666585, -122.32310606983373)]"
80,SEATTLE BLVD S,i,Current,#FFFF00,In street major separation,"[(47.59579404822889, -122.32768336106794), (47.595138869984495, -122.32639287056392), (47.5951306395897, -122.3263766648474)]"
81,RAINIER AVE S,i,Current,#FFFF00,In street major separation,"[(47.511051587119766, -122.24703115466643), (47.51104977555471, -122.2469634150828), (47.51104976323303, -122.24696299515406), (47.511048894532934, -122.24687352645404), (47.51104768913915, -122.24674934556576), (47.51103089863222, -122.24502344051096), (47.51101879667547, -122.2437809483742)]"
82,39TH AVE NE,e,Current,#00FF00,Enhanced Street,"[(47.6794149494848, -122.28606699200476), (47.68036322806861, -122.28612329428545), (47.681174349988765, -122.28614596839172), (47.68124517778691, -122.28628583955114)]"
83,1ST AVE,i,Current,#FFFF00,In street major separation,"[(47.61788948111365, -122.35415335558709), (47.618467586395326, -122.35513370586082)]"
85,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.68497137736048, -122.38758469232559), (47.686802765909654, -122.38759277170111)]"
86,M L KING JR WAY S,i,Current,#FFFF00,In street major separation,"[(47.601656153455494, -122.29676784298393), (47.60159338638744, -122.29676917183191), (47.60156568890356, -122.29677070013044), (47.60153065716571, -122.29677263348427), (47.601467997526484, -122.29677821637146), (47.60140544119063, -122.2967859183207), (47.6013430204626, -122.29679573815694), (47.60128076773976, -122.29680766744326), (47.60122010365877, -122.2968213870273), (47.60121871678291, -122.29682170089438), (47.6012179385144, -122.29682190422129), (47.6011568992743, -122.2968378310914), (47.601095346895974, -122.29685605061495), (47.60103409417714, -122.29687634901292), (47.60086375923078, -122.29693632619474)]"
87,MOUNT RAINIER DR S,d,Current,#FF0000,In street minor separation,"[(47.57821246875211, -122.28765740863741), (47.5782064902454, -122.28765603828239), (47.57813930397652, -122.28763842768181), (47.57807239231316, -122.2876186649719), (47.57800578672452, -122.28759675933867), (47.577939520056496, -122.28757272208125), (47.5778736209446, -122.28754656438078), (47.57780812222132, -122.2875182985729), (47.577743053912066, -122.28748793691463), (47.577678446690975, -122.2874554958305), (47.57761433197354, -122.28742098865305), (47.57755073901685, -122.28738443280395), (47.57748769709135, -122.28734584466778), (47.577425238949274, -122.28730524280024), (47.57736339031268, -122.28726264659856), (47.577302183205354, -122.28721807667218), (47.57724164475251, -122.28717155245653), (47.57718180413137, -122.28712309759334), (47.57712268914231, -122.28707273361074), (47.577064328247246, -122.28702048516713), (47.57700674921989, -122.28696637586394), (47.576949978390786, -122.28691043237404), (47.57689404211664, -122.28685267929566), (47.57683896877998, -122.28679314750762), (47.576784781930904, -122.28673186152936), (47.57673150788642, -122.28666884906887)]"
90,N 50TH ST,i,Current,#FFFF00,In street major separation,"[(47.6650158281857, -122.35146178045741), (47.665040750326945, -122.35000285345436)]"
91,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.70391054675478, -122.29083362383732), (47.704784914709265, -122.29087462257034)]"
94,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(47.675295169731875, -122.35434978663463), (47.67599836978274, -122.35435331852841), (47.67602257106132, -122.35435322032156)]"
96,AIRPORT WAY S,i,Current,#FFFF00,In street major separation,"[(47.55335102459897, -122.32100440597908), (47.55299177641375, -122.32064496874263), (47.55260420962598, -122.32025720413858), (47.55208187989403, -122.31975399507682)]"
98,MAGNOLIA BLVD W,i,Current,#FFFF00,In street major separation,"[(47.63229296873607, -122.39426507505527), (47.63235275549756, -122.39467033642916), (47.63269548167155, -122.39567231424361), (47.633013479004056, -122.39655716873376), (47.63313970413896, -122.39690091777405), (47.633288157988765, -122.39709454941166), (47.63374719998313, -122.39739526185197)]"
101,39TH AVE NE,e,Current,#00FF00,Enhanced Street,"[(47.67760048372116, -122.28601513183742), (47.678471662433466, -122.28604003071398), (47.6793325999529, -122.28606463788992), (47.6794149494848, -122.28606699200476)]"
103,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(47.68838789893188, -122.3499080055742), (47.689106164396456, -122.34990929299455), (47.689111648638935, -122.34990930337618)]"
105,NE 45TH ST,d,Current,#FF0000,In street minor separation,"[(47.66126550461547, -122.28475410848371), (47.661271941057315, -122.28339251629622), (47.66127500470801, -122.28274321803457)]"
106,NE RAVENNA BLVD,i,Current,#FFFF00,In street major separation,"[(47.675872018704275, -122.32233080153848), (47.675197692225815, -122.32175797070511), (47.67515079877583, -122.32171452558832), (47.67498254588083, -122.3215586506817), (47.67467668298837, -122.32127529298249), (47.67454951254231, -122.32115748021597), (47.674523483916275, -122.3211333671283)]"
107,GREENWOOD AVE N,i,Current,#FFFF00,In street major separation,"[(47.68328869864949, -122.35529729449061), (47.68401824469957, -122.35529776006555)]"
110,22ND AVE SW,e,Current,#00FF00,Enhanced Street,"[(47.57058198423404, -122.36112418313607), (47.57056518680663, -122.36113062536634), (47.57015965109028, -122.36113908947266)]"
112,STEWART ST,i,Current,#FFFF00,In street major separation,"[(47.61827376400618, -122.33099941157586), (47.6183897198384, -122.33084940923159), (47.61849175815947, -122.33072296205546)]"
117,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(47.5423017240588, -122.3900305197558), (47.541589428328415, -122.39004031356735), (47.541506413701235, -122.39004145439287)]"
118,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(47.56838957814569, -122.386769610627), (47.566538421237574, -122.38677129548458)]"
122,1ST AVE NE,d,Current,#FF0000,Sharrows,"[(47.719524238169896, -122.32896777741696), (47.72133023795853, -122.32894326452937), (47.72197125926547, -122.32893456038883)]"
124,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(47.67383146462951, -122.38758562202865), (47.674560068606006, -122.38758536719996)]"
125,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.52290815891362, -122.2849389438432), (47.52261298630149, -122.28460270790346)]"
126,DEXTER AVE,i,Current,#FFFF00,In street major separation,"[(47.617987296587515, -122.34240881823881), (47.61855016545617, -122.34240185396769)]"
127,SEWARD PARK AVE S,d,Current,#FF0000,In street minor separation,"[(47.55430487312108, -122.2646359880697), (47.554180768426285, -122.26453434022372), (47.55339076300978, -122.26388734519341), (47.55334959440316, -122.26385362957214)]"
131,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(47.60799593979626, -122.29584502782045), (47.607994362895504, -122.29490756766786)]"
132,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.53759249807258, -122.2944277516897), (47.53709507502873, -122.29366836703664)]"
136,19TH AVE,d,Current,#FF0000,Sharrows,"[(47.60616434935185, -122.30763545687876), (47.60802107560285, -122.30762262827989)]"
