,name,difficulty_code,district,difficulty,description,polyline
0,8TH AVE S,i,Current,#FFFF00,In street major separation,"[(48.298093266988054, -110.38953514166752), (48.29550849506623, -110.390185738884)]"
1,SWIFT AVE S,i,Current,#FFFF00,In street major separation,"[(48.352804704080974, -110.33306425600507), (48.35061099996403, -110.33007192215545)]"
5,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(48.76244263857085, -110.46978859927776), (48.76319955675872, -110.46960851592401), (48.763288401453515, -110.4695875210599)]"
6,S ROYAL BROUGHAM WAY,i,Current,#FFFF00,In street major separation,"[(48.5038185978257, -110.36982984920094), (48.50358626654226, -110.36758757398786), (48.50342467981885, -110.3663163390851), (48.50334219822597, -110.36566934350581), (48.50324847874614, -110.36507209120715)]"
7,12TH AVE NE,i,Current,#FFFF00,In street major separation,"[(48.75775348842825, -110.25642440654288), (48.760698187377514, -110.25571950757798)]"
9,MERCER ST,i,Current,#FFFF00,In street major separation,"[(48.61318769082627, -110.39448762097595), (48.61274824603421, -110.39034098295781), (48.61273075063023, -110.39017592435769), (48.61233522219487, -110.3864512538324), (48.612272639333305, -110.3858620463464), (48.61221166455275, -110.38528618825414), (48.611816705269305, -110.38155309371898)]"
12,RENTON AVE S,d,Current,#FF0000,In street minor separation,"[(48.26412338546073, -110.24156413240503), (48.26387904744268, -110.2416019421057), (48.26363486500335, -110.24164193668025), (48.26339084435096, -110.24168410784701), (48.26329974814998, -110.24169785621567), (48.26320838974348, -110.24170683405006), (48.26311687726888, -110.24171102938776), (48.261502521871975, -110.24174244287626), (48.26135711387222, -110.24174233399687), (48.26121178067536, -110.2417351675048), (48.261066680520585, -110.24172094544635), (48.261011415068964, -110.2417129120618)]"
14,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(48.87140862185426, -110.14441552946863), (48.875949135259695, -110.14317041428875), (48.87619424414089, -110.14310318807168), (48.87662434448091, -110.14298523308914), (48.87715169129928, -110.1428406013479)]"
15,6TH AVE,d,Current,#FF0000,In street minor separation,"[(48.57581253005945, -110.37386014847517), (48.577510770697714, -110.37600052757604)]"
17,FREMONT AVE N,i,Current,#FFFF00,In street major separation,"[(48.70573649093562, -110.384979459761), (48.71030302025475, -110.3838480747795)]"
22,MOUNT RAINIER DR S,d,Current,#FF0000,Sharrows,"[(48.435778424112335, -110.23189456412241), (48.43574689117187, -110.23184103420036), (48.435657475444785, -110.23169614149842), (48.43556483050706, -110.23155590400741), (48.43546906891235, -110.23142048340654), (48.435370297071835, -110.23129002518574), (48.43526863045251, -110.23116469739517), (48.43516418395534, -110.23104463676172), (48.43505708876114, -110.23092998011082), (48.434947457174474, -110.23082086120948), (48.4348354220233, -110.23071740954516)]"
23,S JACKSON ST,d,Current,#FF0000,Sharrows,"[(48.5268773246647, -110.37399461123177), (48.52656339027614, -110.37102115096103), (48.526422571998914, -110.36968744557382)]"
24,W EMERSON ST,d,Current,#FF0000,In street minor separation,"[(48.729548122329476, -110.5722026105002), (48.72992129835912, -110.57574769250164)]"
29,N 50TH ST,i,Current,#FFFF00,In street major separation,"[(48.7436569796795, -110.35767494891064), (48.74338239575739, -110.35508479908506)]"
32,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(48.36965198849192, -110.5805122818311), (48.36955514292567, -110.58094320186095), (48.36952923040327, -110.58105848943457), (48.36943102693777, -110.5816157713186), (48.369357806194444, -110.58218164006215), (48.36931999885669, -110.5826328342047), (48.369310856224395, -110.58274198305047), (48.36930989342207, -110.58275349652034), (48.36930362599524, -110.58285486103036), (48.3691958259176, -110.58459866634043), (48.36917007714696, -110.58501509622288)]"
36,WESTERN AVE,d,Current,#FF0000,In street minor separation,"[(48.555388627017365, -110.38765531941604), (48.55891845595079, -110.38989254483577)]"
38,EAST GREEN LAKE DR N,i,Current,#FFFF00,In street major separation,"[(48.78517590922096, -110.28399026786732), (48.78573637141523, -110.28390873000872), (48.786114512955436, -110.28388214582907), (48.78642943375585, -110.28392111591988), (48.78675766172544, -110.28399619637834)]"
39,2ND AVE,i,Current,#FFFF00,In street major separation,"[(48.575953032809366, -110.39680091446988), (48.577163453410044, -110.39832858871516), (48.57888980489355, -110.40050696339986)]"
43,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(48.82838223481788, -110.35583548357972), (48.83073276068833, -110.3553052628979)]"
44,16TH AVE SW,d,Current,#FF0000,In street minor separation,"[(48.35739788295928, -110.48364955797561), (48.35709827971223, -110.48372536919136), (48.35497776584701, -110.48426189389833), (48.3513493001781, -110.48517984647624)]"
45,NE RAVENNA BLVD,i,Current,#FFFF00,In street major separation,"[(48.7824122270278, -110.2865215365813), (48.78256491554123, -110.28593190456716), (48.782588329990105, -110.28568270743256), (48.78262501415453, -110.28532603876198), (48.7826226721635, -110.28504731613673), (48.78261213399489, -110.2848052082472), (48.78260526002149, -110.28454229889755), (48.782512230555355, -110.28421528583857), (48.78219925141172, -110.28356514325785), (48.781841004488086, -110.28292445806628), (48.781493490674855, -110.28241364329436)]"
49,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(48.76731523930923, -110.46863553946466), (48.76982622645807, -110.46804092210122)]"
50,RAVENNA AVE NE,d,Current,#FF0000,In street minor separation,"[(48.81378979054101, -110.19675351875706), (48.81397551485363, -110.19678282383634), (48.814032506491415, -110.1967918153953), (48.816480019094875, -110.19717794038151), (48.816681283934805, -110.197209694194), (48.816821953744885, -110.19723188787812), (48.81686666950998, -110.19723893663128), (48.8170525675936, -110.19726826841469), (48.8182814833728, -110.19746217668532), (48.819762613279536, -110.19769587947118), (48.81990369806943, -110.19771814324604), (48.81994842287181, -110.19772519093354)]"
51,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(48.34808618591668, -110.60916685834088), (48.34632510456411, -110.61046419700963), (48.34588331103485, -110.61078963971438)]"
55,E YESLER WAY,d,Current,#FF0000,In street minor separation,"[(48.52483335758599, -110.27593619612952), (48.5243751311862, -110.27163197429654)]"
56,39TH AVE S,d,Current,#FF0000,Sharrows,"[(48.25194468432174, -110.26841395125047), (48.2471485501151, -110.26956429997321)]"
59,16TH AVE SW,d,Current,#FF0000,In street minor separation,"[(48.3333777780967, -110.48965064755313), (48.32750478887477, -110.4910676026663)]"
64,S COLUMBIAN WAY,i,Current,#FFFF00,In street major separation,"[(48.40674527832323, -110.33243757313213), (48.40638313191642, -110.33250461525788), (48.40601851807267, -110.33252567813409), (48.40565401768931, -110.3325006249179), (48.40529220880235, -110.33242964394002), (48.4049356461484, -110.33231322845445), (48.404586874451375, -110.33215219480606), (48.4042483420656, -110.3319477036991), (48.40393252979694, -110.33170879716994), (48.40392246086503, -110.33170117801468)]"
67,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(48.54136744996397, -110.2334151589265), (48.54095141442518, -110.22995705189939)]"
69,S HILL ST,e,Current,#00FF00,Enhanced Street,"[(48.46858892706241, -110.28205356794662), (48.468021156137084, -110.27787304966678)]"
71,CHERRY ST,d,Current,#FF0000,In street minor separation,"[(48.54226193536507, -110.35566549146411), (48.54338285178437, -110.35165314290374)]"
72,32ND AVE NW,d,Current,#FF0000,In street minor separation,"[(48.770272590388075, -110.5338470918451), (48.77356690032804, -110.53308603187259), (48.77378819670228, -110.53303490883108)]"
74,N 34TH ST,i,Current,#FFFF00,In street major separation,"[(48.69357009811521, -110.3793831201138), (48.69312345659278, -110.37766494694826), (48.692565197614826, -110.37551755228162), (48.69136829042788, -110.37091427648554)]"
76,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(48.70944299551211, -110.3588634489171), (48.71006109293058, -110.35868491409886), (48.71176528140523, -110.35819262384369)]"
